Description,HS Code,Bottles,Cases,Unit Price USD,Case Price USD,Total Price USD
"François Thienpont Terre Elysée 2021 0.75L 12",22042142,420,70,$28.58,$171.48,"$12,003.60"
"RUM Dictador x Crurated Exclusive Single Cask Port Finish 1999 0.7L 43",22084031,60,60,$149.72,$149.72,"$8,983.20"
"Davide Fregonese Barolo DOCG Prapò 2019 0.75L 14",22042162,30,10,$69.42,$208.26,"$2,082.60"
"Masseria Alfano Fiano d'Avellino DOCG Riserva Il Gheppio 2020 0.75L 12.5",22042138,420,70,$38.11,$228.66,"$16,006.20"
"Domaine Leflouge Meursault Les Meix-Chavaux 2022 0.75L 13",22042113,30,5,$69.42,$416.52,"$2,082.60"
"Theo Dancer Jurassic Savagnin 2023 0.75L 12.5",22042181,30,10,$69.42,$208.26,"$2,082.60"
"Masseria Alfano Fiano d'Avellino DOCG Riserva Il Gheppio 2021 0.75L 12.5",22042138,420,70,$38.11,$228.66,"$16,006.20"
"Etienne Calsac Champagne Les Revenants 2020 0.75L 12.5",22041011,30,10,$125.22,$375.66,"$3,756.60"
"Sylvain Cathiard Hautes-Côtes de Nuits 2022 0.75L 13.5",22042143,30,10,$115.69,$347.07,"$3,470.70"
"Valentin Leflaive Champagne Grand Cru Avize 16-4.0 0.75L 12.5",22041011,240,40,$63.97,$383.82,"$15,352.80"
"Vilmart & Cie Grand Cellier 1er Cru 0.75L 12.5",22041011,30,5,$57.17,$343.02,"$1,715.10"
"Domaine Chavy-Chouet Bourgogne Rouge La Taupe 2023 0.75L 13",22042143,60,10,$35.39,$212.34,"$2,123.40"
"San Polo Brunello di Montalcino 2019 0.75L 13.5",22042166,60,20,$51.72,$155.16,"$3,103.20"
"Racines Sparkling Grand Reserve NV 0.75L 13",22042193,60,10,$51.72,$310.32,"$3,103.20"
"Cantina dell'Angelo Torrefavale 2022 0.75L 13",22042138,360,60,$49.00,$294.00,"$17,640.00"
"Racines Wenzlau Chardonnay 2022 0.75L 13",22042193,60,10,$81.67,$490.02,"$4,900.20"
"Federico Graziani Etna Rosso DOC Rosso di Mezzo 2021 0.75L 13",22042161,30,5,$69.42,$416.52,"$2,082.60"
"Michel Naddef Fixin Vieille Vigne 2023 0.75L 13.5",22042143,30,5,$81.67,$490.02,"$2,450.10"
"Cantina del Barone Fiano d'Avellino 2022 0.75L 13",22042162,360,120,$49.00,$147.00,"$17,640.00"
"Arnaud Mortet Gevrey-Chambertin Ma Cuvée 2020 0.75L 13",22042143,60,20,$104.80,$314.40,"$6,288.00"
"Antonio Di Mauro Etna DOC Bianco 2023 0.75L 12.5",22042131,30,5,$29.94,$179.64,$898.20
"Domaine Laflouge Pommard Les Noizons 2022 0.75L 13",22042143,30,5,$69.42,$416.52,"$2,082.60"
"Domaine Fourrier Gevrey-Chambertin 2023 0.75L 13",22042143,840,140,$104.80,$628.80,"$88,032.00"
"Domaine Pierre & Anne Boisson Bourgogne Blanc Murgey de Limozin 2020 0.75L 13",22042113,30,10,$57.17,$171.51,"$1,715.10"
"Domaine Fourrier Gevrey-Chambertin 1er Cru Champeaux 2023 0.75L 13.5",22042143,30,5,$288.55,"$1,731.30","$8,656.50"
"Domaine Laflouge Auxey-Duresses La Macabrée 2022 0.75L 13",22042113,840,110,$58.53,$445.96,"$49,165.20"
"Pierre Girardin Vin de France Savagnin Blanc 2021 0.75L 13",22042181,420,70,$58.53,$351.18,"$24,582.60"
"Domaine de Montille Bourgogne Blanc Le Clos du Château 2022 0.75L 13",22042143,90,15,$35.39,$212.34,"$3,185.10"
"Vincent Dancer Bourgogne Blanc 2023 0.75L 13",22042113,420,70,$65.33,$391.98,"$27,438.60"
"Jane Eyre Bourgogne Rouge 2023 0.75L 12",22042143,30,5,$53.08,$318.48,"$1,592.40"
"Hubert Lignier Bourgogne Pinot Noir Grand Chaliot 2023 0.75L 13",22042143,30,5,$53.08,$318.48,"$1,592.40"
"Poggio Di Sotto Brunello di Montalcino DOCG 2019 0.75L 13.5",22042166,30,10,$213.69,$641.07,"$6,410.70"
"Masseria Alfano Greco di Tufo DOCG Il Bosco 2022 0.75L 12.5",22042138,360,60,$32.67,$196.02,"$11,761.20"
"Tormaresca Primitivo di Manduria DOC Carrubo 2019 0.75L 13.5",22042190,83,14,$46.28,$274.37,"$3,841.24"
"Davide Fregonese Barolo DOCG Cerretta 2019 0.75L 14",22042162,30,10,$69.42,$208.26,"$2,082.60"
"Tormaresca Castel del Monte DOC Bio Bocca di Lupo 2019 0.75L 14.5",22042178,90,17,$46.28,$245.01,"$4,165.20"
"Château Puygueraud Rouge 2019 0.75L 14.5",22042142,60,10,$29.94,$179.64,"$1,796.40"
"Bambinuto Greco di Tufo DOCG Riserva Rafiu 2019 0.75L 13.5",22042138,240,40,$49.00,$294.00,"$11,760.00"
"Di Meo Greco di Tufo DOCG Riserva Vittorio 2008 1.5L 13.5",22042138,60,58,$136.11,$140.80,"$8,166.60"
"Armand Heitz Bourgogne Blanc 2023 0.75L 12.5",22042113,180,30,$29.94,$179.64,"$5,389.20"
"Tormaresca Puglia IGT Fiano di Bocca di Lupo 2021 0.75L 12.5",22042166,90,15,$46.28,$277.68,"$4,165.20"
"Tormaresca Puglia IGT Fiano di Bocca di Lupo 2020 0.75L 12.5",22042166,7,3,$46.28,$107.99,$323.96
"Domaine de Montille Chassagne-Montrachet 2022 0.75L 13",22042113,120,20,$63.97,$383.82,"$7,676.40"
"Antonio Di Mauro Etna DOC Rosso 2020 0.75L 13",22042161,60,10,$32.67,$196.02,"$1,960.20"
"Domaine de Montille Bourgogne Rouge 2021 0.75L 13",22042143,60,10,$35.39,$212.34,"$2,123.40"
"Armand Heitz Beaune Rouge 2021 0.75L 13",22042143,120,20,$35.39,$212.34,"$4,246.80"
"Vincent Dancer Hautes-Côtes Blanc 2023 0.75L 13",22042113,120,20,$69.42,$416.52,"$8,330.40"
"Giuseppe Cortese Barbaresco 2020 0.75L 13",22042162,60,10,$40.83,$244.98,"$2,449.80"
"Dehours & Fils Champagne Maisoncelle Lieu-dit Réserve Perpétuelle 0.75L 12",22041011,60,10,$74.86,$449.16,"$4,491.60"
"Valentin Leflaive Champagne Stigma 20 4.0 0.75L 12.5",22041011,60,10,$46.28,$277.68,"$2,776.80"
"Vincent Dancer Beaune 1er Cru Montrevenots 2023 0.75L 13",22042113,120,20,$81.67,$490.02,"$9,800.40"
"Di Meo Greco di Tufo DOCG Riserva Vittorio 2008 0.75L 13.5",22042138,240,40,$61.25,$367.50,"$14,700.00"
"Armand Heitz Saint Aubin 1er Cru Murgers des Dents de Chien Rouge 2018 0.75L 13.5",22042143,60,10,$69.42,$416.52,"$4,165.20"
"Dehours & Fils Champagne Brisefer Lieu-dit Réserve Perpétuelle 0.75L 12",22041011,60,10,$74.86,$449.16,"$4,491.60"
"Racines Santa Rosa Hills Sainte-Rose Pinot Noir 2022 0.75L 13",22042194,60,10,$81.67,$490.02,"$4,900.20"
"Hubert Lignier Morey-Saint-Denis Trilogie 2021 0.75L 13",22042143,30,5,$185.11,"$1,110.66","$5,553.30"
